"","specimen","mean_length","mean_width","raw_aspect_ratio","ln_length","ln_width","ln_length_ln_width","species_name","domain"
"177","Iodotropheus_sprengerae_NHMUK_1971_9_8_7_8_8bit_a_v13_v+2",1.16885464390347,0.722869399505309,1.61696517338175,0.156024332503418,-0.324526710062303,0.480551042565721,"Iodotropheus_sprengerae","precaudal"
"178","Iodotropheus_sprengerae_NHMUK_1971_9_8_7_8_8bit_a_v16_v-2",1.11618985545271,0.729789150817345,1.52946896264847,0.109920970863519,-0.314999621057205,0.424920591920725,"Iodotropheus_sprengerae","caudal"
"179","Iodotropheus_sprengerae_NHMUK_1971_9_8_7_8_8bit_a_v17_v-3",1.08568418364078,0.732789671596933,1.48157680944765,0.0822103722585904,-0.310896560158044,0.393106932416634,"Iodotropheus_sprengerae","caudal"
"180","Iodotropheus_sprengerae_NHMUK_1971_9_8_7_8_8bit_a_v18_v-4",1.07071222720632,0.722136580096557,1.48270044298706,0.0683240599415986,-0.325540988870725,0.393865048812324,"Iodotropheus_sprengerae","caudal"
"181","Lethrinops_albus_NHMUK_1930_1_31_171_180_v+2",2.53282353090627,1.85803420733447,1.36317378921664,0.929334700572977,0.619519051058807,0.30981564951417,"Lethrinops_albus","precaudal"
"182","Lethrinops_albus_NHMUK_1930_1_31_171_180_v+3",2.62106018034676,1.82966538768244,1.43253525917477,0.963578884911996,0.604133101873585,0.359445783038411,"Lethrinops_albus","precaudal"
"183","Lethrinops_albus_NHMUK_1930_1_31_171_180_v+4",2.52930785466864,1.85206018553077,1.36567260309836,0.927945690081111,0.616298633282761,0.31164705679835,"Lethrinops_albus","precaudal"
"184","Lethrinops_albus_NHMUK_1930_1_31_171_180_v-2",2.53364259388678,1.94239929410112,1.30438813563267,0.929658027707699,0.663923958467161,0.265734069240537,"Lethrinops_albus","caudal"
"185","Lethrinops_albus_NHMUK_1930_1_31_171_180_v-3",2.59434226704177,1.90504689630182,1.36182593304031,0.953333022850086,0.644506625756929,0.308826397093157,"Lethrinops_albus","caudal"
"186","Lethrinops_albus_NHMUK_1930_1_31_171_180_v-4",2.64025246214999,1.87322894219368,1.40946597753186,0.970874542188275,0.627663648877163,0.343210893311112,"Lethrinops_albus","caudal"
"187","Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b_v10_v+4",1.7254615473728,1.06450313519854,1.6209079055939,0.545494578388921,0.0625081505781935,0.482986427810728,"Lethrinops_auritus","precaudal"
"188","Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b_v11_v+3",1.71280407759044,1.11167398667561,1.54074314782922,0.53813183894816,0.105866975393486,0.432264863554674,"Lethrinops_auritus","precaudal"
"189","Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b_v12_v+2",1.73675837041351,1.08044524895573,1.60744690403528,0.552020370163815,0.0773732237288091,0.474647146435005,"Lethrinops_auritus","precaudal"
"190","Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b_v15_v-2",1.61987704106056,1.15523945420694,1.4022002409644,0.482350245783795,0.144307642145698,0.338042603638097,"Lethrinops_auritus","caudal"
"191","Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b_v16_v-3",1.61119976075702,1.18486467366552,1.35981753576346,0.476979094494701,0.169628568627463,0.307350525867238,"Lethrinops_auritus","caudal"
"192","Lethrinops_auritus_NHMUK_1978_10_31_2_6_8bit_b_v17_v-4",1.61494855592262,1.18440293307043,1.36351279689594,0.479303102249389,0.169238793661033,0.310064308588356,"Lethrinops_auritus","caudal"
"193","Lethrinops_gossei_UniBri_ref_only_8bit_v+2",2.70588386017976,2.12768250818858,1.27175170626535,0.995428609455678,0.755033363068572,0.240395246387106,"Lethrinops_gossei","precaudal"
"194","Lethrinops_gossei_UniBri_ref_only_8bit_v+3",2.75937608594525,2.21731246470737,1.24446875659873,1.01500459835765,0.796295861031107,0.218708737326545,"Lethrinops_gossei","precaudal"
"195","Lethrinops_gossei_UniBri_ref_only_8bit_v+4",2.81500723526631,2.08462362821859,1.35036713446056,1.03496483184281,0.734588324912303,0.30037650693051,"Lethrinops_gossei","precaudal"
"196","Lethrinops_gossei_UniBri_ref_only_8bit_v-2",2.57242871283771,2.22390598294564,1.15671648557303,0.944850477103119,0.799265101639393,0.145585375463727,"Lethrinops_gossei","caudal"
"197","Lethrinops_gossei_UniBri_ref_only_8bit_v-3",2.80137061200849,2.23343827177433,1.25428611455779,1.03010880170176,0.803542223986578,0.226566577715185,"Lethrinops_gossei","caudal"
"198","Lethrinops_gossei_UniBri_ref_only_8bit_v-4",2.59667875567406,2.18001678393758,1.19112787332944,0.954233226790637,0.779332575825296,0.174900650965342,"Lethrinops_gossei","caudal"
"199","Lethrinops_lethrinus_YPM-Ich-014443_8bit_v10_v+3",3.65044337868498,2.84680537296129,1.28229467787175,1.2948486338294,1.04619744380992,0.248651190019476,"Lethrinops_lethrinus","precaudal"
"200","Lethrinops_lethrinus_YPM-Ich-014443_8bit_v11_v+2",3.59670618339609,2.76639214789632,1.30014328812029,1.28001847758405,1.01754399755952,0.262474480024529,"Lethrinops_lethrinus","precaudal"
"201","Lethrinops_lethrinus_YPM-Ich-014443_8bit_v15_v-2",3.6515299547936,2.94073906157444,1.24170484981371,1.29514624546588,1.07866093124746,0.216485314218414,"Lethrinops_lethrinus","caudal"
"202","Lethrinops_lethrinus_YPM-Ich-014443_8bit_v16_v-3",3.76493455146147,2.974799024302,1.26560971706143,1.3257304776908,1.09017648185919,0.235553995831604,"Lethrinops_lethrinus","caudal"
"203","Lethrinops_lethrinus_YPM-Ich-014443_8bit_v17_v-4",3.59309977727719,2.93287325654277,1.22511253060853,1.27901527765318,1.07598257615427,0.203032701498909,"Lethrinops_lethrinus","caudal"
"204","Lethrinops_lethrinus_YPM-Ich-014443_8bit_v9_v+4",3.50923361576006,2.70723644329796,1.29624201256877,1.25539767054915,0.995928351959269,0.259469318589882,"Lethrinops_lethrinus","precaudal"
"205","Maylandia_zebra_UniOxf_F0_Poseidon_v11_v+4",1.8359086064892,1.17472640845949,1.56283930732158,0.60753951235865,0.161035276619519,0.446504235739131,"Maylandia_zebra","precaudal"
"206","Maylandia_zebra_UniOxf_F0_Poseidon_v12_v+3",1.84069203798714,1.1760295057836,1.56517504784939,0.610141608511867,0.16214393911373,0.447997669398136,"Maylandia_zebra","precaudal"
"207","Maylandia_zebra_UniOxf_F0_Poseidon_v13_v+2",1.81585362346873,1.18485692732616,1.53255096171528,0.596555673113658,0.169622030864248,0.426933642249411,"Maylandia_zebra","precaudal"
"208","Maylandia_zebra_UniOxf_F0_Poseidon_v17_v-2",1.71313681983201,1.14309859917707,1.49867808521969,0.538326087624701,0.133742644589194,0.404583443035507,"Maylandia_zebra","caudal"
"209","Maylandia_zebra_UniOxf_F0_Poseidon_v18_v-3",1.71838093296165,1.14994812050952,1.49431170181857,0.541382529461753,0.13971682875714,0.401665700704613,"Maylandia_zebra","caudal"
"210","Maylandia_zebra_UniOxf_F0_Poseidon_v19_v-4",1.7046775565187,1.13689363720136,1.49941692057933,0.533375976439395,0.128299663516066,0.405076312923329,"Maylandia_zebra","caudal"
"211","Melanochromis_melanopterus_YPM-Ich-014310_8bit_v12_v+4",1.88119486654635,1.18916999814251,1.58193939427062,0.631907142266382,0.1732555832182,0.458651559048182,"Melanochromis_melanopterus","precaudal"
"212","Melanochromis_melanopterus_YPM-Ich-014310_8bit_v13_v+3",1.93081731758215,1.20308239402377,1.6048920067099,0.657943393886702,0.184886925107498,0.473056468779203,"Melanochromis_melanopterus","precaudal"
"213","Melanochromis_melanopterus_YPM-Ich-014310_8bit_v14_v+2",1.85881422601977,1.1493835845015,1.61722705203412,0.619938771534764,0.139225785191625,0.480712986343139,"Melanochromis_melanopterus","precaudal"
"214","Melanochromis_melanopterus_YPM-Ich-014310_8bit_v18_v-2",1.77458007715182,1.20312502651364,1.47497561603727,0.573563818686306,0.184922360531323,0.388641458154983,"Melanochromis_melanopterus","caudal"
